,count,dep,deprel,head,lang,left_dist,right_dist
0,1,NOUN,ccomp,PUNCT,basque,0,4
1,1,NOUN,det,NUM,basque,0,1
2,68,PROPN,nmod,SCONJ,basque,113,11
3,16,INTJ,discourse,VERB,basque,70,4
4,8,VERB,conj,AUX,basque,0,67
5,827,VERB,advcl,VERB,basque,2432,2178
6,1,NUM,nummod,ADV,basque,0,1
7,4236,AUX,aux,VERB,basque,863,4055
8,5,VERB,advcl,ADV,basque,10,0
9,12,CONJ,conj,VERB,basque,0,83
10,33,NOUN,name,ADJ,basque,35,0
11,1,CONJ,dobj,VERB,basque,0,2
12,332,VERB,cop,ADJ,basque,133,322
13,6,NUM,nmod,NUM,basque,6,0
14,14,VERB,xcomp,NOUN,basque,10,7
15,2,ADV,xcomp,SCONJ,basque,2,0
16,94,SCONJ,cop,ADJ,basque,17,104
17,1,NUM,ccomp,VERB,basque,3,0
18,12,NUM,nummod,ADJ,basque,7,8
19,8358,PUNCT,punct,VERB,basque,8973,35400
20,100,PART,neg,SCONJ,basque,100,0
21,2,SCONJ,advcl,NUM,basque,2,0
22,94,PROPN,dobj,VERB,basque,212,28
23,3,VERB,nsubj,SCONJ,basque,6,0
24,1,SCONJ,dobj,SCONJ,basque,2,0
25,1,VERB,conj,PROPN,basque,0,3
26,8,DET,ccomp,VERB,basque,9,15
27,51,NUM,nsubj,VERB,basque,137,22
28,12,PROPN,nsubj,NUM,basque,39,2
29,1,PRON,nmod,ADJ,basque,1,0
30,1032,PROPN,nmod,NOUN,basque,1319,14
31,1,NOUN,xcomp,PROPN,basque,0,1
32,36,SCONJ,csubj,VERB,basque,17,117
33,1,PUNCT,punct,PART,basque,0,2
34,71,ADV,nmod,NOUN,basque,80,0
35,7,PART,neg,NOUN,basque,13,4
36,2,NUM,det,PROPN,basque,1,1
37,1,PROPN,conj,PART,basque,0,4
38,1,NOUN,vocative,SCONJ,basque,5,0
39,1,SCONJ,advcl,PROPN,basque,5,0
40,1,DET,conj,ADV,basque,0,2
41,1,NUM,det,SCONJ,basque,1,0
42,4,ADJ,appos,NOUN,basque,0,10
43,55,SCONJ,conj,SCONJ,basque,0,273
44,19,NOUN,dobj,CONJ,basque,13,36
